id,name,price,price_delta_season,price_delta_race,probability_price_up_percentage,probability_price_down_percentage,selection_percentage,selection_percentage_delta_season,datetime,timestamp
31,N. Latifi,6.5,0.0,0.0,0,33,4,0,2021-03-31 01:56:03,1617152163
29,N. Mazepin,5.4,-0.1,-0.1,0,7,5,0,2021-03-31 02:14:38,1617153278
26,K. Raikkonen,9.6,0.0,0.0,0,85,15,0,2021-03-31 02:14:38,1617153278
4,Mercedes,38.0,0.0,0.0,0,92,12,0,2021-03-31 02:14:38,1617153278
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 02:14:38,1617153278
6,Alpine,15.3,-0.1,-0.1,0,65,3,0,2021-03-31 02:14:38,1617153278
5,Red Bull,26.0,0.1,0.1,8,0,31,1,2021-03-31 02:14:38,1617153278
25,Y. Tsunoda,9.0,0.2,0.2,77,0,29,3,2021-03-31 02:14:38,1617153278
19,S. Vettel,15.9,-0.3,-0.3,0,91,17,-2,2021-03-31 02:14:38,1617153278
23,C. Sainz,14.4,0.0,0.0,0,37,27,0,2021-03-31 02:14:38,1617153278
24,P. Gasly,11.7,0.0,0.0,83,0,43,1,2021-03-31 02:14:38,1617153278
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 02:14:38,1617153278
14,M. Verstappen,24.9,0.1,0.1,92,0,52,2,2021-03-31 02:14:38,1617153278
22,C. Leclerc,17.1,0.3,0.3,14,0,29,2,2021-03-31 02:14:38,1617153278
18,L. Stroll,13.8,-0.1,-0.1,0,10,10,-1,2021-03-31 02:14:38,1617153278
2,Williams,6.3,0.0,0.0,0,17,1,0,2021-03-31 02:14:38,1617153278
20,E. Ocon,9.9,-0.2,-0.2,0,12,16,-1,2021-03-31 02:14:38,1617153278
17,D. Ricciardo,17.1,-0.2,-0.2,0,11,37,-2,2021-03-31 02:14:38,1617153278
16,L. Norris,13.2,0.1,0.1,68,0,53,2,2021-03-31 02:14:38,1617153278
28,M. Schumacher,5.8,0.0,0.0,0,18,27,0,2021-03-31 02:14:38,1617153278
9,Aston Martin,17.3,-0.3,-0.3,0,63,7,-1,2021-03-31 02:14:38,1617153278
7,AlphaTauri,12.9,0.2,0.2,16,0,6,0,2021-03-31 02:14:38,1617153278
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 02:14:38,1617153278
15,S. Perez,18.3,-0.1,-0.1,1,0,32,0,2021-03-31 02:14:38,1617153278
27,A. Giovinazzi,7.9,0.0,0.0,0,31,8,0,2021-03-31 02:14:38,1617153278
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 02:14:38,1617153278
21,F. Alonso,15.5,-0.1,-0.1,0,97,13,-1,2021-03-31 02:14:38,1617153278
1,Ferrari,18.2,0.1,0.1,58,0,8,0,2021-03-31 02:14:38,1617153278
12,L. Hamilton,33.5,0.0,0.0,0,53,29,0,2021-03-31 02:14:38,1617153278
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 02:14:38,1617153278
31,N. Latifi,6.5,0.0,0.0,0,33,4,0,2021-03-31 02:14:38,1617153278
29,N. Mazepin,5.4,-0.1,-0.1,0,7,5,0,2021-03-31 02:34:40,1617154480
26,K. Raikkonen,9.6,0.0,0.0,0,86,15,0,2021-03-31 02:34:40,1617154480
4,Mercedes,38.0,0.0,0.0,0,93,12,0,2021-03-31 02:34:40,1617154480
3,McLaren,18.9,0.0,0.0,14,0,30,0,2021-03-31 02:34:40,1617154480
6,Alpine,15.3,-0.1,-0.1,0,66,3,0,2021-03-31 02:34:40,1617154480
5,Red Bull,26.0,0.1,0.1,8,0,31,1,2021-03-31 02:34:40,1617154480
25,Y. Tsunoda,9.0,0.2,0.2,79,0,29,3,2021-03-31 02:34:40,1617154480
19,S. Vettel,15.9,-0.3,-0.3,0,92,17,-2,2021-03-31 02:34:40,1617154480
23,C. Sainz,14.4,0.0,0.0,0,38,27,0,2021-03-31 02:34:40,1617154480
24,P. Gasly,11.7,0.0,0.0,85,0,43,1,2021-03-31 02:34:40,1617154480
8,Alfa Romeo,8.9,0.0,0.0,1,0,1,0,2021-03-31 02:34:40,1617154480
14,M. Verstappen,24.9,0.1,0.1,93,0,52,2,2021-03-31 02:34:40,1617154480
22,C. Leclerc,17.1,0.3,0.3,14,0,29,2,2021-03-31 02:34:40,1617154480
18,L. Stroll,13.8,-0.1,-0.1,0,10,10,-1,2021-03-31 02:34:40,1617154480
2,Williams,6.3,0.0,0.0,0,17,1,0,2021-03-31 02:34:40,1617154480
20,E. Ocon,9.9,-0.2,-0.2,0,12,16,-1,2021-03-31 02:34:40,1617154480
17,D. Ricciardo,17.1,-0.2,-0.2,0,11,37,-2,2021-03-31 02:34:40,1617154480
16,L. Norris,13.2,0.1,0.1,69,0,53,2,2021-03-31 02:34:40,1617154480
28,M. Schumacher,5.8,0.0,0.0,0,19,27,0,2021-03-31 02:34:40,1617154480
9,Aston Martin,17.3,-0.3,-0.3,0,65,7,-1,2021-03-31 02:34:40,1617154480
7,AlphaTauri,12.9,0.2,0.2,16,0,6,0,2021-03-31 02:34:40,1617154480
13,V. Bottas,23.5,-0.1,-0.1,0,1,13,0,2021-03-31 02:34:40,1617154480
15,S. Perez,18.3,-0.1,-0.1,1,0,32,0,2021-03-31 02:34:40,1617154480
27,A. Giovinazzi,7.9,0.0,0.0,0,31,8,0,2021-03-31 02:34:40,1617154480
30,G. Russell,6.2,0.0,0.0,0,2,42,0,2021-03-31 02:34:40,1617154480
21,F. Alonso,15.5,-0.1,-0.1,0,99,13,-1,2021-03-31 02:34:40,1617154480
1,Ferrari,18.2,0.1,0.1,59,0,8,0,2021-03-31 02:34:40,1617154480
12,L. Hamilton,33.5,0.0,0.0,0,54,29,0,2021-03-31 02:34:40,1617154480
10,Haas,6.1,0.0,0.0,0,13,1,0,2021-03-31 02:34:40,1617154480
31,N. Latifi,6.5,0.0,0.0,0,34,4,0,2021-03-31 02:34:40,1617154480
29,N. Mazepin,5.4,-0.1,-0.1,0,7,5,0,2021-03-31 02:54:41,1617155681
